MTNB predictions 	0.86 	0.86 	0.81 	0.83 	2316308 	-2.35%
TRXC predictions 	0.43 	0.43 	0.40 	0.41 	1882200 	-2.38%
TGB predictions 	0.79 	0.79 	0.76 	0.77 	397600 	-2.53%
CEI predictions 	0.79 	0.79 	0.75 	0.76 	682554 	-2.56%
NBY predictions 	0.98 	1.00 	0.94 	0.98 	1280000 	-2.97%
GPL predictions 	0.92 	0.94 	0.90 	0.91 	2936500 	-3.19%
GSV predictions 	0.92 	0.93 	0.91 	0.91 	480500 	-3.19%
SENS predictions 	0.53 	0.53 	0.50 	0.51 	2041698 	-3.77%
PLM predictions 	0.46 	0.47 	0.44 	0.44 	2740210 	-4.35%
GSAT predictions 	0.36 	0.36 	0.35 	0.35 	2119800 	-5.41%
XXII predictions 	0.69 	0.69 	0.64 	0.64 	2471952 	-5.88%
ENSV predictions 	0.15 	0.16 	0.13 	0.15 	3061042 	-6.25%
AUMN predictions 	0.44 	0.45 	0.42 	0.42 	1668500 	-6.67%
OGEN predictions 	0.97 	0.97 	0.89 	0.91 	2643300 	-7.14%
ZOM predictions 	0.14 	0.14 	0.13 	0.13 	41143200 	-7.14%
XPL predictions 	0.37 	0.38 	0.34 	0.35 	407500 	-7.89%
ITP predictions 	0.49 	0.50 	0.46 	0.46 	267872 	-8.00%
JOB predictions 	1.03 	1.03 	0.88 	0.95 	735918 	-8.65%
DXF predictions 	0.75 	0.75 	0.70 	0.73 	114300 	-8.75%
INUV predictions 	0.53 	0.55 	0.49 	0.50 	9644500 	-9.09%
BGI predictions 	0.91 	0.99 	0.75 	0.88 	2151945 	-11.11%
WYY predictions 	0.83 	0.84 	0.67 	0.75 	4026400 	-19.35%
